Timestamp,Date,Time,  1.Age Group  ,  2.Gender  ,  3.Profession  ,"Section 2: Style Preferences
4. How would you describe your go-to daily outfit? (Select one)  ", 5. What is your favorite color palette for clothing?  , 6. Do you prioritize functionality or aesthetics in your outfits?  ,  7.Which of these best describes your wardrobe?  ,"Section 3: Shopping Habits
8. How often do you shop for new clothes?  ",  9.What influences your clothing purchases the most?  , 10. Where do you typically shop for clothes? (Select all that apply)  ,  12.Do you often experiment with new styles or stick to what you know?  , 13. What kind of footwear do you wear most often?  ,14. How active is your daily lifestyle?  ," 16.If you had to choose, would you prefer timeless pieces or trendy items?  ",17. From scale 1-10 how much do you think your clothing style reflects about your personality?
14/01/2025 19:33:18,14/01/2025,19:33:18,18 - 24,Female,Student,"Chic (e.g., tailored, stylish)","Pastels (soft pink, baby blue)",Slightly prefer aesthetics,Mix-and-match (varied styles),Rarely,Comfort,Local boutiques,Sometimes experiment,Sneakers,Mostly sedentary,"Mostly trendy, some timeless",8
21/01/2025 22:13:55,21/01/2025,22:13:55,18 - 24,Female,Student,"Casual (e.g., jeans, t-shirts)","Dark tones (navy, maroon)",Slightly prefer functionality,Mix-and-match (varied styles),Every few months,Sustainability,Thrift stores,Sometimes experiment,Sandals/Flats,Moderately active,"Mostly timeless, some trendy",6
21/01/2025 22:24:31,21/01/2025,22:24:31,18 - 24,Female,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Slightly prefer functionality,Minimalist (few versatile pieces),Monthly,Comfort,Local boutiques,Rarely experiment,Sneakers,Moderately active,"Mostly timeless, some trendy",9
21/01/2025 22:25:53,21/01/2025,22:25:53,18 - 24,Male,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Equal balance of both,Specialized (specific to one style),Every few months,Comfort,Thrift stores,Sometimes experiment,Sneakers,"Very active (e.g., gym, outdoor activities)",Always timeless,6
21/01/2025 22:38:46,21/01/2025,22:38:46,18 - 24,Male,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Slightly prefer aesthetics,Minimalist (few versatile pieces),Rarely,Comfort,Thrift stores,Rarely experiment,Sneakers,"Very active (e.g., gym, outdoor activities)","Mostly timeless, some trendy",6
21/01/2025 22:57:36,21/01/2025,22:57:36,18 - 24,Female,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Slightly prefer functionality,Minimalist (few versatile pieces),Rarely,Comfort,Local boutiques,Rarely experiment,Sandals/Flats,Mostly sedentary,Equal mix of both,6
21/01/2025 22:58:02,21/01/2025,22:58:02,18 - 24,Female,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Equal balance of both,Mix-and-match (varied styles),Every few months,Comfort,Fast fashion stores,Sometimes experiment,Sneakers,Moderately active,"Mostly trendy, some timeless",4
21/01/2025 23:03:27,21/01/2025,23:03:27,18 - 24,Female,Student,"Casual (e.g., jeans, t-shirts)","Dark tones (navy, maroon)",Slightly prefer aesthetics,Minimalist (few versatile pieces),Monthly,Trends,Fast fashion stores,Rarely experiment,Sneakers,Moderately active,"Mostly timeless, some trendy",4
21/01/2025 23:03:50,21/01/2025,23:03:50,18 - 24,Female,Student,"Casual (e.g., jeans, t-shirts)","Neutral (black, white, beige)",Equal balance of both,Mix-and-match (varied styles),Rarely,Trends,Fast fashion stores,Always experiment,Sandals/Flats,Moderately active,"Mostly trendy, some timeless",10
21/01/2025 23:04:04,21/01/2025,23:04:04,18 - 24,Female,Student,"Casual (e.g., jeans, t-shirts)","Dark tones (navy, maroon)",Equal balance of both,Specialized (specific to one style),Rarely,Comfort,Local boutiques,Rarely experiment,Sneakers,Moderately active,"Mostly timeless, some trendy",9
